RA,NOME_COMPLETO,EMAIL
834001,Ana Carolina Silva,ana.carolina@estudante.ufscar.br
834002,Bruno Henrique Souza,bruno.souza@estudante.ufscar.br
834003,Camila Ribeiro Lima,camila.lima@estudante.ufscar.br
834004,Diego Martins Oliveira,diego.oliveira@estudante.ufscar.br
834005,Elisa Fernandes Costa,elisa.costa@estudante.ufscar.br
834006,Felipe Augusto Pereira,felipe.pereira@estudante.ufscar.br
834007,Giovana Almeida Santos,giovana.santos@estudante.ufscar.br
834008,Lucas Gabriel Rocha,lucas.rocha@estudante.ufscar.br
834009,Mariana Aoki Tanaka,mariana.tanaka@estudante.ufscar.br
834010,Rafael Kenji Nakamura,rafael.nakamura@estudante.ufscar.br
